ingreso,educacion,experiencia,edad,titulo
769,12,11,31,1
808,18,11,37,1
825,14,11,33,1
650,12,13,32,1
562,11,14,34,1
1400,16,14,35,1
600,10,13,30,0
1081,18,8,38,1
1154,15,13,36,1
1000,12,16,36,1
930,18,8,38,1
921,14,9,33,1
900,15,4,30,0
635,18,8,36,0
1779,17,8,32,1
782,13,9,31,1
1572,14,7,28,1
1274,13,11,31,1
714,16,9,29,1
1081,18,11,36,1
692,12,21,38,1
1318,17,10,33,1
1239,12,16,38,1
1027,13,12,38,1
1748,18,12,34,1
981,14,9,35,0
770,17,7,30,1
1154,16,11,33,1
1155,12,16,34,1
808,13,14,38,1
1100,12,22,38,1
1154,18,10,37,1
1749,12,13,29,0
1000,16,11,30,1
462,12,11,29,1
769,18,8,32,0
875,16,9,31,0
1375,12,12,29,1
1452,17,1,30,1
800,12,17,35,1
1748,17,10,36,1
1151,12,12,29,1
840,12,18,35,1
978,12,17,38,1
963,12,15,37,0
619,12,10,28,0
442,12,12,33,1
600,15,12,38,1
1366,12,15,32,1
1643,18,8,33,1
1455,16,8,36,1
1682,16,10,31,1
1235,12,10,33,1
855,16,11,32,1
1072,16,6,35,1
1040,15,8,35,1
1000,12,17,36,1
675,15,8,31,1
1100,12,14,30,1
996,12,5,31,1
732,10,17,36,1
1200,11,15,37,1
1694,15,9,29,0
686,10,15,36,1
754,13,9,32,1
857,10,14,33,1
832,13,4,30,1
579,13,8,30,1
672,12,13,34,1
1076,12,5,31,0
750,12,16,37,1
1186,17,8,33,1
833,16,9,31,1
650,12,14,30,1
1250,12,5,38,1
1122,15,12,31,1
865,16,1,31,1
808,16,10,29,1
1299,18,6,35,0
903,12,6,36,1
900,12,17,37,1
625,12,18,35,1
1586,14,16,36,1
962,10,15,38,1
1539,17,7,34,1
1110,12,11,33,1
1282,16,6,31,0
770,12,13,38,1
1000,12,16,38,1
895,9,17,38,1
1205,10,13,32,1
750,12,11,29,1
654,13,5,38,1
601,12,15,33,1
600,13,10,28,1
433,12,11,30,0
1188,12,11,30,1
635,12,15,33,1
1225,13,9,32,1
1151,12,19,36,1
865,12,15,32,0
1031,14,9,29,1
1049,12,9,32,1
1000,12,12,29,1
1105,13,10,30,1
1346,16,9,38,1
809,12,11,29,1
1495,18,10,32,1
1346,16,10,33,0
1200,12,10,31,1
500,12,6,33,1
1325,12,12,28,1
900,12,16,33,1
800,12,15,34,1
800,12,16,38,1
1034,12,15,36,1
980,12,4,36,1
884,10,19,34,1
480,10,11,34,0
923,18,7,34,1
513,17,8,31,0
1105,11,17,37,0
1193,12,19,36,1
779,12,9,30,1
950,11,13,31,1
1394,16,11,30,1
1495,17,13,33,1
650,12,4,28,1
670,13,9,29,1
1126,16,5,32,1
450,12,11,33,0
1028,12,19,37,1
757,16,10,33,1
1250,14,9,29,1
1162,16,8,31,1
1025,15,9,29,1
1100,16,11,32,1
714,16,7,28,1
1318,16,16,37,1
1411,18,14,38,1
1273,14,11,36,1
1140,12,16,35,1
578,13,7,30,0
942,12,7,38,1
1058,12,17,38,1
750,14,9,29,1
1000,12,11,30,1
951,12,9,30,1
635,12,13,31,1
1250,12,13,34,1
675,12,6,34,1
400,12,11,32,1
577,12,9,29,1
590,13,10,29,1
923,16,10,31,1
1250,12,6,32,0
1100,14,11,33,1
1130,12,18,37,1
652,12,14,36,0
618,12,6,30,1
962,16,7,34,1
529,13,14,32,1
817,12,16,33,1
962,16,8,32,1
840,12,19,38,1
866,16,7,28,1
1126,12,16,32,1
1160,12,8,31,1
723,12,15,38,1
1778,16,14,36,1
1010,18,7,34,1
971,17,5,37,1
525,12,9,34,1
525,12,12,30,1
670,12,10,30,1
500,12,19,37,1
1058,14,14,34,1
550,12,18,35,1
500,12,14,32,1
727,15,10,31,0
865,12,6,30,1
1081,13,8,30,1
1304,17,9,31,1
575,13,6,30,1
623,16,7,30,1
515,13,8,28,1
1273,18,14,37,1
990,13,13,33,1
600,12,16,33,1
1160,12,17,38,1
500,12,11,29,1
795,12,17,35,1
500,11,20,37,1
740,10,23,38,1
1250,16,10,33,1
1014,16,13,30,0
1250,13,13,33,1
913,14,4,29,1
1346,16,9,30,1
445,10,19,38,1
1250,14,7,28,1
1607,13,7,36,1
1452,16,12,38,1
1391,12,14,32,1
821,16,8,32,1
794,16,9,29,1
500,13,10,38,1
520,18,6,29,1
1730,18,12,37,1
1155,18,10,37,1
923,14,8,31,1
1115,16,12,33,1
449,12,7,30,0
1500,12,10,34,1
826,14,20,37,1
937,12,16,35,1
978,12,19,36,1
1031,14,14,33,0
1272,12,10,30,1
1136,14,16,34,1
800,12,19,36,1
1339,12,8,33,1
1063,12,14,32,1
935,12,10,29,1
808,12,18,38,1
375,10,12,30,1
537,12,14,31,0
1082,12,11,29,1
930,14,10,31,0
1155,17,13,38,1
548,11,7,33,1
622,16,12,33,1
841,16,10,29,1
769,18,7,38,0
587,17,8,29,1
1058,12,7,29,1
417,12,7,28,0
1202,16,6,28,1
1154,14,18,37,1
1070,13,4,32,1
1202,14,10,29,1
711,18,13,36,1
1202,14,6,31,1
850,12,7,28,1
1000,16,13,35,1
490,18,7,31,0
1000,14,15,35,1
865,16,11,31,1
1375,13,3,30,1
1586,16,16,37,1
1602,15,14,37,1
898,16,7,35,0
906,14,16,37,1
952,13,10,31,1
571,13,10,29,0
445,12,15,32,0
1444,16,12,37,1
962,12,19,36,1
1075,12,17,33,1
909,11,17,35,1
1250,12,14,35,1
620,11,10,29,1
1016,10,14,37,1
800,10,21,37,1
1050,16,7,37,0
1079,12,18,36,1
654,17,12,34,1
781,12,8,30,1
1038,15,8,36,1
1202,15,15,37,1
666,15,8,32,1
905,14,11,36,1
890,12,6,31,1
817,16,10,31,1
812,12,10,29,0
577,14,6,30,1
756,14,9,31,1
1011,12,20,37,1
1155,12,14,34,1
1025,12,12,29,1
1350,12,17,35,1
1001,12,20,37,1
796,13,16,37,1
1230,13,11,30,1
754,12,13,30,1
714,12,17,37,1
1000,15,8,32,1
912,16,11,30,1
600,12,8,30,1
951,11,13,31,1
711,16,8,32,1
1151,12,18,38,1
1000,12,9,28,1
841,12,15,31,1
400,12,12,32,1
1175,12,17,34,1
1202,12,18,37,1
1442,12,16,33,1
538,18,5,34,1
781,11,13,30,1
750,10,13,30,1
841,18,13,37,0
700,13,14,38,1
1346,16,9,36,1
800,12,16,33,1
1250,16,9,30,1
1105,16,5,29,1
475,14,12,30,0
762,15,6,33,1
962,12,18,36,1
721,13,9,30,0
800,9,18,34,1
658,16,11,30,1
1270,14,4,36,1
1313,12,11,28,1
824,12,19,38,1
1442,16,6,29,1
1400,17,7,31,1
1038,12,20,36,1
668,12,11,29,1
1100,12,18,36,1
1000,14,9,30,1
523,13,9,30,1
1111,14,13,31,1
962,16,6,28,1
729,18,6,34,1
690,12,9,28,1
1010,11,15,38,1
600,11,7,29,1
596,12,16,34,1
850,12,11,29,1
670,12,9,29,1
793,12,17,36,1
1442,17,14,38,1
670,12,14,34,1
876,16,10,29,1
841,18,13,36,1
975,13,8,31,1
1223,12,7,28,1
910,12,16,35,1
533,15,8,30,1
750,12,15,33,1
1206,12,16,38,1
745,13,17,36,0
900,12,15,37,1
1170,14,9,32,1
540,12,12,31,1
550,16,15,38,1
615,14,9,30,1
909,13,6,31,1
769,12,18,36,1
984,13,17,37,1
833,12,15,37,1
879,12,17,35,0
1027,12,16,35,1
1000,16,10,33,1
465,13,10,29,1
1100,13,21,38,1
641,14,9,37,1
1035,12,21,38,1
1212,14,9,32,0
950,12,11,30,1
938,12,19,38,1
1250,16,8,30,1
586,18,6,34,1
693,12,7,28,1
562,12,18,34,0
375,12,12,30,0
673,12,7,38,1
654,17,1,33,1
692,12,17,35,1
1111,14,10,29,1
1368,16,11,33,1
1282,18,7,32,1
1250,11,19,38,1
1346,15,15,35,1
1424,17,15,37,1
854,16,8,29,0
888,15,9,32,0
1161,12,5,34,1
583,16,9,30,1
1260,12,5,29,1
947,18,8,35,1
1575,12,13,30,1
758,16,10,28,0
1442,12,19,36,1
489,13,20,38,1
1126,12,5,31,1
1000,12,12,32,0
500,12,13,32,1
1200,12,13,32,1
565,10,15,33,1
684,14,7,29,1
774,12,20,37,1
975,13,12,30,1
1366,12,13,30,1
700,16,10,29,1
1200,12,16,33,1
1161,13,16,36,1
729,11,16,34,1
750,11,17,36,1
1026,12,4,38,1
1111,15,11,32,1
625,12,12,31,1
1200,16,11,30,1
1541,12,8,32,1
1154,16,12,34,1
310,13,10,33,0
610,12,14,30,1
1749,12,16,36,1
1000,16,9,31,0
765,12,17,37,1
790,12,15,34,1
818,12,16,38,1
477,9,12,30,1
938,14,15,33,1
940,12,13,32,1
1202,15,11,28,1
450,15,9,31,1
1058,16,16,37,1
1000,11,15,37,1
556,11,13,34,0
958,12,11,28,1
995,9,22,38,1
1600,14,16,33,1
606,18,6,30,0
511,12,13,30,1
1411,16,11,32,1
1346,16,15,37,1
1522,12,15,37,1
1075,14,9,30,1
1200,12,11,28,1
1377,16,15,36,1
874,13,8,33,1
625,13,11,30,1
1250,12,17,33,1
1082,13,20,36,1
693,11,18,38,1
727,12,11,31,1
615,15,16,38,1
913,16,5,31,1
884,17,4,36,1
698,12,10,29,1
800,12,17,36,1
812,16,9,30,0
1000,11,16,34,1
549,12,11,32,0
1300,12,13,31,1
923,16,9,33,1
1539,12,15,32,1
721,12,11,30,1
815,12,15,31,1
600,12,20,38,1
1100,12,18,37,1
1058,12,18,35,1
962,12,15,30,1
433,12,5,37,1
940,11,9,29,1
1417,16,9,32,0
1000,12,11,29,1
500,13,14,32,1
800,14,8,28,1
766,12,17,35,1
750,14,12,33,1
550,12,15,37,1
795,11,16,34,1
723,12,12,30,1
1039,14,12,34,1
400,10,12,32,1
575,11,17,35,1
850,11,16,37,1
508,12,16,32,1
1162,12,11,37,1
1199,13,13,30,1
1270,16,8,31,1
963,14,9,28,1
1463,15,14,37,1
802,12,13,29,1
642,12,12,30,1
751,13,9,28,1
488,17,5,31,1
